Date,Open,High,Low,Close,Adj Close,Volume,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,decision,decision1,decision2,decision3,decision4,decision5,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,#NAME?,#NAME?,High.1,Low.1,Daily_Return,Cumulative_Return,Sentiment_Diff,Price_Sentiment_Interaction,Month,Decision6
2018-09-28,2910.03,2920.53,2907.5,2913.98,2913.98,3461680000,-0.02,0,0.02,6.641428571,4.851428571,0,1,0,0,0,0,0.362205,0.326772,0.311024,1.000001,0.37133225,0.051181,0.375266258,0.476666611,0.273865906,2940.91,2903.28,-6.86E-06,1.022305641,0.051181,-0.0072441,9,1
2018-10-01,2926.29,2937.06,2917.91,2924.59,2924.59,3375890000,10.61,10.61,0,6.309285714,4.851428571,0,1,0,0,0,0,0.362205,0.326772,0.311024,1.000001,0.37133225,0.051181,0.375266258,0.476666611,0.273865906,2940.91,2903.28,0.003641068,1.026027926,0.051181,3.84299505,10,0
2018-10-02,2923.8,2931.42,2919.37,2923.43,2923.43,3432620000,211.69,211.69,0,18.45357143,18.89928571,0,1,1,0,0,0,0.362205,0.326772,0.311024,1.000001,0.37133225,0.051181,0.375266258,0.476666611,0.273865906,2940.91,2903.28,-0.000396637,1.025620965,0.051181,76.67517645,10,0
2018-10-03,2931.69,2939.86,2921.36,2925.51,2925.51,3625510000,2.08,2.08,0,18.60214286,17.08785714,0,1,1,0,0,0,0.362205,0.326772,0.311024,1.000001,0.37133225,0.051181,0.375266258,0.476666611,0.273865906,2940.91,2903.28,0.000711493,1.026350688,0.051181,0.7533864,10,0
2018-10-04,2919.35,2919.78,2883.92,2901.61,2901.61,3510370000,-23.9,0,23.9,18.34214286,18.795,0,1,1,0,0,0,0.456621,0.292237,0.251142,1,0.382955375,0.205479,0.375266258,0.476666611,0.273865906,2939.86,2903.28,-0.008169516,1.0179659,0.205479,-10.9132419,10,1
2018-10-05,2902.54,2909.64,2869.29,2885.57,2885.57,3340820000,-16.04,0,16.04,16.71357143,19.94071429,0,1,1,0,0,0,0.456621,0.292237,0.251142,1,0.382955375,0.205479,0.375266258,0.476666611,0.273865906,2939.86,2903.28,-0.005527966,1.012338619,0.205479,-7.32420084,10,1
2018-10-08,2877.53,2889.45,2862.08,2884.43,2884.43,3381820000,-1.14,0,1.14,16.71357143,19.945,1,1,1,0,0,0,0.456621,0.292237,0.251142,1,0.382955375,0.205479,0.375266258,0.476666611,0.273865906,2939.86,2903.28,-0.000395069,1.011938675,0.205479,-0.52054794,10,1
2018-10-09,2882.51,2894.83,2874.27,2880.34,2880.34,3531690000,113.21,113.21,0,24.8,27.20285714,0,1,0,0,0,0,0.456621,0.292237,0.251142,1,0.382955375,0.205479,0.375266258,0.476666611,0.273865906,2939.86,2903.28,-0.001417958,1.010503789,0.205479,51.69406341,10,0
2018-10-10,2873.9,2874.02,2784.86,2785.68,2785.68,4554260000,-94.66,0,94.66,24.68714286,33.96428571,0,1,0,0,0,0,0.456621,0.292237,0.251142,1,0.382955375,0.205479,0.375266258,0.476666611,0.273865906,2939.86,2903.28,-0.032864176,0.977294415,0.205479,-43.22374386,10,1
2018-10-11,2776.87,2795.14,2710.51,2728.37,2728.37,4914090000,-57.31,0,57.31,24.68714286,37.37285714,0,1,0,0,0,0,0.306061,0.339394,0.354545,1,0.37600025,-0.048484,0.375266258,0.476666611,0.273865906,2939.86,2784.86,-0.020573074,0.957188465,-0.048484,-17.54035591,10,2
2018-10-12,2770.54,2775.77,2729.44,2767.13,2767.13,4024010000,38.76,38.76,0,26.88214286,37.37285714,1,1,0,0,0,0,0.306061,0.339394,0.354545,1,0.37600025,-0.048484,0.375266258,0.476666611,0.273865906,2939.86,2784.86,0.014206284,0.970786556,-0.048484,11.86292436,10,1
2018-10-15,2763.83,2775.99,2749.03,2750.79,2750.79,3327160000,-16.34,0,16.34,26.88214286,38.53857143,0,1,0,0,0,0,0.306061,0.339394,0.354545,1,0.37600025,-0.048484,0.375266258,0.476666611,0.273865906,2939.86,2784.86,-0.005905035,0.965054028,-0.048484,-5.00103674,10,2
2018-10-16,2767.05,2813.46,2766.91,2809.92,2809.92,3460260000,42.14,42.14,0,30.34785714,35.75142857,1,1,0,0,0,0,0.306061,0.339394,0.354545,1,0.37600025,-0.048484,0.375266258,0.476666611,0.273865906,2939.86,2784.86,0.021495643,0.985798484,-0.048484,12.89741054,10,1
